group,catalogue_key,canonical_id,canonical_name,classification,movement_pattern,equipment,review_publication_state,measurement_semantics_present,measurement_modes,obvious_ontology_gaps
loaded strength,lateral_raise,,Lateral Raise,Shoulders,Vertical Push,Dumbbell,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
loaded strength,overhead_press,,Overhead Press,Shoulders,Vertical Push,Barbell,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
loaded strength,overhead_triceps_extension,,Overhead Triceps Extension,Arms,Elbow Extension,Dumbbell|Bench,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
loaded strength,preacher_curl,,Barbell Preacher Curl,Arms,Elbow Flexion,Barbell|Bench,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
loaded strength,romanian_deadlift,,Romanian Deadlift,Legs,Hinge,Barbell,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
loaded strength,single_arm_dumbbell_row,,Single-Arm Dumbbell Row,Back,Horizontal Pull,Dumbbell|Bench,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
loaded strength,trap_bar_deadlift,,Trap Bar Deadlift,Legs,Hinge,Trap Bar,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,cable_chest_fly,,Cable Chest Fly,Chest,Horizontal Push,Cable Machine,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,cable_crunch,,Cable Crunch,Abs,Trunk Flexion,Cable Machine|Exercise Mat,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,chest_supported_machine_row,,Plate-Loaded Chest-Supported Row,Back,Horizontal Pull,Plate Loaded Machine,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,lat_pulldown,,Lat Pulldown,Back,Vertical Pull,Cable Machine,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,leg_press,,Leg Press,Legs,Squat,Leg Press Machine,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,machine_shoulder_press,,Machine Shoulder Press,Shoulders,Vertical Push,Selectorized Machine,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,pallof_press,,Pallof Press,Abs,Anti-Rotation,Cable Machine,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
machine-based,seated_cable_row,ex_seated_cable_row,Seated Cable Row,Back,Horizontal Pull,Cable Machine,Draft,yes,external_load_reps,not publication-ready
machine-based,selectorized_chest_press,ex_selectorized_chest_press,Selectorized Chest Press,Chest,Horizontal Push,Selectorized Machine,Draft,yes,external_load_reps,not publication-ready
machine-based,triceps_pushdown,,Triceps Pushdown,Arms,Elbow Extension,Cable Machine,Draft,no,,measurement semantics missing; canonical ID not allocated; not publication-ready
